SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001648588;2299;PROFESSOR TÓVI;DEFERIDO;22;PL;MASCULINO;INDÍGENA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001650017;9010;RUSCHEL;INDEFERIDO COM RECURSO;90;PROS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647188;11138;LISIANE BECKER;DEFERIDO;11;PP;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001648960;22555;ADRIANO DORNELLES;DEFERIDO;22;PL;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601864;4411;DAIANA LUZ;DEFERIDO;44;UNIÃO;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601629;10600;ALSOM SILVA;RENÚNCIA;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649786;14500;PASTOR OSVALDO OLIVEIRA;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001648963;22034;CLAUDIO TATSCH;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601951;44333;JUMIR CARVALHO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621336;12433;LEILA CASTRO;DEFERIDO;12;PDT;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620064;4507;UH FABIANO;DEFERIDO;45;PSDB;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601909;44023;PASTOR JEFERSON SIQUEIRA;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001597029;30111;DOUGLAS SANDRI;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596931;5029;IAGO SANCHEZ;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001597012;3038;HENRIQUE LIMA;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596130;1914;ANGELA NUNES;DEFERIDO;19;PODE;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001598508;50456;JACKES ANDRADE;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001614116;77023;BRUNA PÂMELA;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001621257;1282;GIANE LAUXEN;DEFERIDO;12;PDT;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;VICE-GOVERNADOR;210001609944;20;NIVEA ROSA;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001648576;2214;MARCELO MORAES;DEFERIDO;22;PL;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001598529;50123;MATHEUS GOMES;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001611285;51700;EDILAMAR ALVES;INDEFERIDO COM RECURSO;51;PATRIOTA;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001611175;5170;PASTOR OTACILIO;DEFERIDO;51;PATRIOTA;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621491;70123;MARCIO FREITAS;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001611165;5113;FABIANE RODRIGUES;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601885;4434;CORONEL ELIAS;RENÚNCIA;44;UNIÃO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001604666;1388;VERA TITA;DEFERIDO;13;PT;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610595;13600;ALBERTO HECK;DEFERIDO;13;PT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620042;4578;MISSIONÁRIA GICELA FREITAS;DEFERIDO;45;PSDB;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649774;14777;ELIZANDRO SABINO;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001596188;19022;JULIO AGAPIO;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601878;4455;NADIM;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621331;12700;FERNANDO MEDEIROS;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001596182;19620;BIRA DO ONIBUS;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601640;10555;LUIZ BECK;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001649244;1405;ARIEL BRANDÃO MORTADELA;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696197;55002;SANDRO ALVES;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001611169;5122;ROBERTO ORNES;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001604645;1320;BOHN GASS;DEFERIDO;13;PT;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621483;70222;ALEX BORA;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620054;2345;LUIZ JACOMINI;DEFERIDO;23;CIDADANIA;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601607;1040;MARLI SERPA;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001696553;2813;FABRICIO ROCHA;INDEFERIDO;28;PRTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610620;13120;JEFERSON FERNANDES;DEFERIDO;13;PT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001621258;1288;CÁSSIO MOREIRA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001597001;4040;DALCISO OLIVEIRA;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001648935;22142;ANDRÉ MACHADO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596921;5025;ÉMERSON DA COSTA;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621305;12190;SARGENTO TRINDADE;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601668;10100;JOÃO DERLY;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696188;55066;TONY MACHADO;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001605646;2002;SERGIO PIRES DIAS CABELUDO;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596941;5090;PROFESSOR VINICIUS;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001598498;50500;PEDRO STEIN;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001604648;1380;LELINHO LOPES;DEFERIDO;13;PT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601593;1044;LETICIA BONASSINA;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001596181;19202;JOSÉ ALVES;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001614127;77162;IZABELLA CANABARRO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696191;55456;DIMAS;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001614138;77000;BETHINHO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;SENADOR;210001610438;100;HAMILTON MOURÃO;DEFERIDO;10;REPUBLICANOS;MASCULINO;INDÍGENA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596914;5099;MÁRCIO CHAGAS COLETIVO NEGRO;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001598502;50979;ANDRÉ ROTA SENA;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601594;1000;DR BENEDETTI;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621493;70010;VITOR LOPES;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647194;11144;LÚCIO DO PRADO;DEFERIDO;11;PP;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001648961;22022;CAPITÃO MACEDO PROFESSOR;DEFERIDO;22;PL;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601947;44244;ADAMIR VIVAN;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001596146;19321;TINA OLIVEIRA;DEFERIDO;19;PODE;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696201;55500;ROSELI ALBUQUERQUE;DEFERIDO;55;PSD;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601638;10222;DELEGADO ZUCCO;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001604765;1901;LASIER MARTINS;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620057;4588;MOISÉS BARBOZA MALUCO DO BEM ;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620436;7020;WESLEI OLÉA;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;GOVERNADOR;210001737241;29;CESAR AUGUSTO;INDEFERIDO COM RECURSO;29;PCO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620058;4545;NELSON MARCHEZAN JÚNIOR;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001648958;22210;FABIANO RHEINHEIMER;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001602898;40433;CLAUDINHA LOPES;DEFERIDO;40;PSB;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001648593;2228;FELIPE PEDRI;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649775;14414;NARA CORRÊA;DEFERIDO;14;PTB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;VICE-GOVERNADOR;210001604470;13;PEDRO RUAS;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001697551;21021;LEO SILVESTRIN;DEFERIDO;21;PCB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;GOVERNADOR;210001619618;11;LUIS CARLOS HEINZE;DEFERIDO;11;PP;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001723438;36800; CARLOS ROBERTO RODRIGUES DE R;INDEFERIDO COM RECURSO;36;AGIR;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;1º SUPLENTE;210001619886;111;RICARDO GOLIN;DEFERIDO;11;PP;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001738819;28612;BARBARA GOMES DA SILVEIRA;PENDENTE DE JULGAMENTO;28;PRTB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001597036;30456;TIAGO ALBRECHT - TJ;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601596;1099;JOSÉ LUÍS ISERHARD;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601862;4421;AXI MONCORVO;DEFERIDO;44;UNIÃO;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001611163;5156;PROFESSOR VARGAS;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610603;13700;MANECO HASSEN;DEFERIDO;13;PT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001731377;2016;RENATO COSTA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601598;1020;MARCO MARCHAND;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001614132;77123;BIBI MELLO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001727928;70007;ANDRESSA PILAR;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001605735;20777;JORGE MARETOLI;DEFERIDO;20;PSC;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001604660;6507;JOSUÉ RODRIGUES;DEFERIDO;65;PC do B;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696164;55123;CARLOS JUNIOR;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696163;55000;DENTINHO;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001611295;51111;ESTELA MOTTA;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001605642;2021;MISSIONARIA FABIANA SILVA;DEFERIDO;20;PSC;FEMININO;PARDA;N
RS;RIO GRANDE DO SUL;SENADOR;210001615283;700;PROFESSOR NADO;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001647868;1550;JONATHAN RODRIGUES;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601647;10999;DR FERNANDO TARRAGÔ;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621500;70311;ROSANE ANACLETO;RENÚNCIA;70;AVANTE;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001648584;2239;RITA BERNARDES;DEFERIDO;22;PL;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601670;10180;DANY ARAÚJO;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001597003;4001;BEATRIZ SOUZA;DEFERIDO;40;PSB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001729063;45945;TAÍS ITALY;DEFERIDO;45;PSDB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001601869;4407;RICARDO MONTANA;DEFERIDO;44;UNIÃO;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601621;10001;PASTORA MELISSA GALERY;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001732453;20800;ROSELANE DO CINTURÃO AZUL;DEFERIDO;20;PSC;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001598526;50003;KERLY FERRO;DEFERIDO;50;PSOL;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001620222;45000;RODRIGO MARONI DOS ANIMAIS;DEFERIDO;45;PSDB;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001597011;3030;MARCEL VAN HATTEM;DEFERIDO;30;NOVO;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001596179;19009;KALIFA DA FERRAGEM;INDEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647973;15515;ANA AITA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610591;13285;BIRA TEIXEIRA;DEFERIDO;13;PT;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647162;11116;FELIPE KUHN BRAUN;DEFERIDO;11;PP;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001731160;10247;PEZÃO ZILLI;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596111;1929;SILVIA SCHIRRMANN DOCE RECADO;DEFERIDO;19;PODE;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649778;14125;FLÁVIA RAUTA;DEFERIDO;14;PTB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621485;70000;BENHUR TIECHER;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601657;10987;MIRO DOS BRINQUEDOS;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001597033;30900;LUIZ FERNANDO PADILHA;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647982;15444;VILMAR ZANCHIN;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001611174;5102;ROSINHA CRESCENTE;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001648001;15715;PATRICIA ALBA;DEFERIDO;15;MDB;FEMININO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621313;12812;ALEXANDRE GONÇALVES;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001647865;1523;ANA BOMBOM;DEFERIDO;15;MDB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610624;65665;JULIANO ROSO;DEFERIDO;65;PC do B;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647147;11240;ADOLFO BRITO;DEFERIDO;11;PP;MASCULINO;PARDA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001605738;20000;MAURINHO FIUZA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001696551;2882;LOCATELLI;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647984;15122;VANICE DE MATOS;DEFERIDO;15;MDB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001620236;23145;RAFAEL PINTOS;DEFERIDO;23;CIDADANIA;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596129;1991;CELSO RICARDO;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001646695;1151;PAULO FERREIRA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001598518;50777;ALICE CARVALHO;DEFERIDO;50;PSOL;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610637;13321;MAJOR PAULO TITO;DEFERIDO;13;PT;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596936;5068;LUIS CARLOS TROMBETTA;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601934;44404;NHARAM CARVALHO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001648577;2220;MARCELO BAGÉ;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596112;1951;ROSI DA SAÚDE;DEFERIDO;19;PODE;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649807;14200;BETTO ALMEIDA;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001614136;77411;NANI DUTRA;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001602890;40190;RODRIGO COLISSI;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620460;7013;SIMONE SUAREZ;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001647856;1525;CARMEN FERREIRA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001647165;11233;EDSON DA ROSA;DEFERIDO;11;PP;MASCULINO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001596183;19007;DELEGADO ALVARO BECKER;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001620213;45111;CESAR OLIVEIRA;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649773;14000;WILKYNS GROSS;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001620059;4511;LUCAS REDECKER;DEFERIDO;45;PSDB;MASCULINO;BRANCA;S
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001696194;55001;ANA MORAES;DEFERIDO;55;PSD;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596942;5005;ZILA FARIAS;DEFERIDO;50;PSOL;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001646676;1170;CLEDSON MENDES DA CUNHA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001621309;12011;PROFESSORA GIOVANA;DEFERIDO;12;PDT;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001602895;40244;GIOVANE WICKERT;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001610631;13413;MARCIA LUCAS;DEFERIDO;13;PT;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001724776;5576;DARCI LIMA DA ROSA;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001605637;2060;ROSE;DEFERIDO;20;PSC;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001596982;4003;LAÉRCIO ZANCAN - LALÁ;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001601954;44011;BIANCA FEIJÓ;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001647855;1519;ANSELMO RODRIGUES;DEFERIDO;15;MDB;MASCULINO;PARDA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001649818;14700;RENI WEGMANN;DEFERIDO;14;PTB;FEMININO;BRANCA;N
RS;RIO GRANDE DO SUL;DEPUTADO ESTADUAL;210001605723;20448;VILMA CIDADE;DEFERIDO;20;PSC;FEMININO;PRETA;N
RS;RIO GRANDE DO SUL;DEPUTADO FEDERAL;210001648572;2238;ARMANDO SCHNEIDER;DEFERIDO;22;PL;MASCULINO;BRANCA;N
