SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
PR;PARANÁ;DEPUTADO FEDERAL;160001622621;1230;PEDAGOGA SILENE;DEFERIDO;12;PDT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717243;27999;ALEXANDRE ROLLER;DEFERIDO;27;DC;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717380;36543;SANTI;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001717499;3504;NEUZZA ANTUNES;PENDENTE DE JULGAMENTO;35;PMB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001654941;22333;IVETE TAROSSO;DEFERIDO;22;PL;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622622;1299;AMANDA GAIA;DEFERIDO;12;PDT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723054;14414;ZIROCA OSIRES NADAL;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716142;10103;MICHELE THOMAZINHO;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654676;4401;PÓ ROYAL;INDEFERIDO COM RECURSO;44;UNIÃO;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603360;11400;SARGENTO MORAES;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001597842;3010;GEANE CHU;DEFERIDO;30;NOVO;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001621934;9088;ELICEU PALMONARI;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001615006;13131;REQUIÃO FILHO;DEFERIDO;13;PT;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO FEDERAL;160001622035;2202;CAPITÃO MARQUES;DEFERIDO;22;PL;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614762;77890;EDSON BAIANINHO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716372;3667;RODRIGO OLIVEIRA;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716140;10127;MARCOS BRAMBILLA;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001724308;1821;SARGENTO STIER;DEFERIDO;18;REDE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001615020;13603;RITA LINS;DEFERIDO;13;PT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614551;1516;PROF MARILEI DE FÁTIMA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001612400;45190;SOLDADO MOURÃO;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
PR;PARANÁ;1º SUPLENTE;160001615119;433;ELZA CAMPOS;DEFERIDO;65;PC do B;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622034;2244;ITAMAR PAIM;DEFERIDO;22;PL;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001654938;22555;RODRIGAO VERGUE;DEFERIDO;22;PL;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723061;14024;DR RENATO;DEFERIDO;14;PTB;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717343;36368;VALTER MOTORISTA;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622194;90070;PEDRO BRASIL;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717445;20210;DORVANILO NILO;PENDENTE DE JULGAMENTO;20;PSC;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716351;3655;JOELMA DENTINHO;DEFERIDO;36;AGIR;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716350;3656;IVONETE;DEFERIDO;36;AGIR;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001623088;12121;KOCINBA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
PR;PARANÁ;2º SUPLENTE;160001614981;190;ROLF KOERNER;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622291;5544;HÉLIO AMARAL;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
PR;PARANÁ;1º SUPLENTE;160001621903;123;SAMANTHA SITNIK;DEFERIDO;12;PDT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717253;27444;POLICIAL FÁBIO;DEFERIDO;27;DC;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614754;77953;IDAIR DO PRADO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614456;7790;JORNALISTA KANDIDO DE OLIVEIRA;PENDENTE DE JULGAMENTO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622022;2234;DAGMAR CASTRO;DEFERIDO;22;PL;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716317;2022;BIANCA PORTELA;DEFERIDO;20;PSC;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716215;2765;LILI MAINO;DEFERIDO;27;DC;FEMININO;BRANCA;N
PR;PARANÁ;2º SUPLENTE;160001621867;222;JUAREZ BERTÉ;DEFERIDO;22;PL;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716008;44500;ADEMAR DORFSCHMIDT;PENDENTE DE JULGAMENTO;44;UNIÃO;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717377;36200;ISAIAS DA ASSOCIAÇÃO;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001654951;22522;ROMULO QUINTINO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716001;44007;B A;INDEFERIDO COM RECURSO;44;UNIÃO;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716024;44156;CEZINHA HEUA;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614853;15999;PROFESSORA PATRICIA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001717498;3580;PADRE ROQUE;INDEFERIDO COM RECURSO;35;PMB;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001603733;4567;JOCELITO CANTO;PENDENTE DE JULGAMENTO;45;PSDB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622202;19665;MOZART PAVONI;PENDENTE DE JULGAMENTO;19;PODE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001612403;45222;FELIPE PASSOS;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622176;90133;FERNANDA BRAGA;DEFERIDO;90;PROS;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001724316;18155;ELAINE DIAS;DEFERIDO;18;REDE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622285;5501;BETO PRETO;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654911;2875;ANTONIO WILSON CORDEIRO DE LIM;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654743;5131;MARISA GAZZOLA;DEFERIDO;51;PATRIOTA;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622606;1234;GUSTAVO FRUET;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622694;18400;MARQUINHOS DO FORA DE ÁREA;DEFERIDO;18;REDE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622303;5515;STEPHANES;DEFERIDO;55;PSD;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO ESTADUAL;160001622692;18800;JOÃO GUILHERME;INDEFERIDO COM RECURSO;18;REDE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654742;5105;PROFESSOR JORGE;INDEFERIDO COM RECURSO;51;PATRIOTA;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614863;15320;MARIA DO SINDICATO;DEFERIDO;15;MDB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716220;2747;LOURDES FONSECA DA SAÚDE;DEFERIDO;27;DC;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716035;44044;LUIZ FERNANDO GUERRA;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO ESTADUAL;160001615019;43333;PROFESSOR MOCELLIN;DEFERIDO;43;PV;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614823;15190;ANIBELLI NETO;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO ESTADUAL;160001717250;27070;PALHAÇO TORRADINHA;DEFERIDO;27;DC;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716189;3399;HÉLIO GRECA;DEFERIDO;33;PMN;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001597844;3031;JAIRO EDUARDO;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654858;1033;MARCÃO DO KASKATA;RENÚNCIA;10;REPUBLICANOS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622195;90771;NETE SANTANA;DEFERIDO;90;PROS;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716330;2010;CAPOEIRA;PENDENTE DE JULGAMENTO;20;PSC;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614561;1577;DRA ROSIANE ZANETTI;DEFERIDO;15;MDB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614495;1406;PASTORA SELMA MAROLD;DEFERIDO;14;PTB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622699;50222;ÁLEFE OLIVEIRA E COLETIVO;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654815;1960;VANESSA BRASIL;PENDENTE DE JULGAMENTO;19;PODE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716352;3613;MISSIONÁRIA NEIDE;DEFERIDO;36;AGIR;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716216;2744;DR NIAZY;RENÚNCIA;27;DC;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717374;36666;BETO RACING;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001623113;55789;TRAIANO;DEFERIDO;55;PSD;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO ESTADUAL;160001622222;19913;BISPO MARCELO PIRES;DEFERIDO;19;PODE;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723227;35635;LESSA HILDIRLEY;PENDENTE DE JULGAMENTO;35;PMB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622292;5510;HÉLIO GUIMARÃES;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622183;90678;PEDRO IVO;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614514;1380;LENIR DE ASSIS;DEFERIDO;13;PT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716362;3602;JUNIOR AZEVEDO;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716171;51400;RICARDO ALBUQUERQUE;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622698;18000;PROFESSOR TIAGO SILVA;DEFERIDO;18;REDE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603332;11000;DANI ZIOBER;DEFERIDO;11;PP;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654807;1988;PROFESSORA ISABELE FELIX;DEFERIDO;19;PODE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716335;2012;VALDIR DE SOUZA MANINHO;DEFERIDO;20;PSC;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723253;35735;SANDRA MOREIRA;PENDENTE DE JULGAMENTO;35;PMB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654843;1030;CAPELÃ KATIA SOUZA;DEFERIDO;10;REPUBLICANOS;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723064;14800;ROMEU FRIEDLAENDER;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603371;11811;AMANDA ANCIUTTI;DEFERIDO;11;PP;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723057;14345;PEDRO RADADE;DEFERIDO;14;PTB;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614455;7757;JACIARA MELLO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716328;2033;LUCIANA ALMEIDA;DEFERIDO;20;PSC;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716202;2759;SANDRA RIESEMBERG MARQUES;DEFERIDO;27;DC;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716207;2716;EVERTON JOSÉ;DEFERIDO;27;DC;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001597834;3011;CAMILA RIBEIRO;DEFERIDO;30;NOVO;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614860;15026;SIMONE MORENA;DEFERIDO;15;MDB;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614761;77855;DIEGO GOUVEIA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654806;1933;BRUNA FOGAÇA;DEFERIDO;19;PODE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001621913;9091;LUIZÃO DE SERTANÓPOLIS;RENÚNCIA;90;PROS;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603341;11077;PAULO CESAR HUSALUK;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603347;11888;MATHEUS VERMELHO;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001621879;40590;GUSTO JUNINHO;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001597828;3022;SHERYL CALONACI;DEFERIDO;30;NOVO;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622039;2255;ODUWALDO CALIXTO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716174;51010;GILBRAN ROCHA;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001739354;13111;GERSON PARANÁ SOLIDÁRIO;PENDENTE DE JULGAMENTO;13;PT;MASCULINO;INDÍGENA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614562;1567;WAGNER VIVIAN;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716196;3363;DONA ANA;DEFERIDO;33;PMN;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716369;3645;MAYELE PAES;DEFERIDO;36;AGIR;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614549;1500;LUCIANO CAJURU;DEFERIDO;15;MDB;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001726463;2715;REPÓRTER COMUM;INDEFERIDO COM RECURSO;27;DC;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622000;5051;PROFESSORA VALÉRIA;DEFERIDO;50;PSOL;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001603738;4590;CAPITÃO ALVES;DEFERIDO;45;PSDB;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716150;51009;EDIVAL CECCON BERTON;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622208;19991;HIRAN ZANATTA;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001654946;22017;DIEGO DIAS;DEFERIDO;22;PL;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654732;5155;TEIXEIRA;INDEFERIDO COM RECURSO;51;PATRIOTA;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001621820;4050;MARANHÃO;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716004;44004;SONIA ESTEFANI;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001621837;4080;DR PAULO PALHANO FONTINELLI;DEFERIDO;40;PSB;MASCULINO;PRETA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614515;6565;MARCIO SANCHES;DEFERIDO;65;PC do B;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622212;19101;ADEMIR PAÇOCA;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614507;1366;JACQUE DA CASA DAS 13 MULHERES;DEFERIDO;13;PT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001724317;18200;MÁRCIA DA ONG;DEFERIDO;18;REDE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001623071;12122;DOUTOR BUENO;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717453;20190;NIVALDO PIZZA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614842;15345;IARA DO AGUA VERDE;DEFERIDO;15;MDB;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654735;5125;JEFERSON DA FUNERÁRIA;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001612406;45007;PROFESSORA LIGIA BERG;DEFERIDO;45;PSDB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622304;5599;MARLISE DA CRUZ;DEFERIDO;55;PSD;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614491;1441;MARIO KONOPKA;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622182;90110;DELEI DA MANDIOCA;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
PR;PARANÁ;1º SUPLENTE;160001654756;500;SEBASTIÃO DONIZETE SANTAROSA;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622020;2277;VERMELHO;DEFERIDO;22;PL;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO ESTADUAL;160001614773;77888;PASTOR MARCIANO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603369;11025;CHRISTIANO PUPPI;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723026;14140;CARLA MORAES;DEFERIDO;14;PTB;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001615015;13144;DELEGADA MARIA NYSA;DEFERIDO;13;PT;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001623117;55200;CRIS DAS FRUTAS;DEFERIDO;55;PSD;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001716104;28111;KOZAKA;INDEFERIDO COM RECURSO;28;PRTB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001717355;36600;CESAR GORDÃO;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622188;90181;SOLDADO FRUET;DEFERIDO;90;PROS;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO ESTADUAL;160001716119;10022;RENATO GASPARIM;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716366;3636;JAPONÊS DA FEDERAL JAPA CIVIL;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614779;77177;CARLA FREITAS;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614986;13018;FERNANDO ROSENBAUM;DEFERIDO;13;PT;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614995;13003;PROFESSOR DOMINGOS;DEFERIDO;13;PT;MASCULINO;PARDA;N
PR;PARANÁ;GOVERNADOR;160001621857;50;PROFESSORA ANGELA;DEFERIDO;50;PSOL;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001716329;2003;CAPITÃO IGNÁCIO BOMBEIRO;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614780;77544;MARCELO TUBARÃO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001612408;23678;PROF. WILLIAM MACHADO;DEFERIDO;23;CIDADANIA;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001717477;3515;ALEX MILDEMBERGER;RENÚNCIA;35;PMB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614755;77555;DELEGADO ALGACIR RAMOS;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001615010;13000;ARILSON CHIORATO;DEFERIDO;13;PT;MASCULINO;BRANCA;S
PR;PARANÁ;DEPUTADO FEDERAL;160001717475;3591;ARI SANTOS;INDEFERIDO COM RECURSO;35;PMB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622232;19110;ALZIRA CECCHIN;DEFERIDO;19;PODE;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614766;77151;HENRY XAVIER;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001603328;11222;ANDERSON BENTO MARIA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614536;1599;PROF ANA DEBORA;DEFERIDO;15;MDB;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622160;90789;VERMELHO DA RÁDIO;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001623089;12508;EKEDJI LÚ FERREIRA;DEFERIDO;12;PDT;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001654968;22722;JUCIANI CORDEIRO;DEFERIDO;22;PL;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001614506;1316;IVAN COLETIVO PODER POPULAR;INDEFERIDO COM RECURSO;13;PT;MASCULINO;INDÍGENA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001621891;40555;ISABELLE DIAS;DEFERIDO;40;PSB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001623111;55180;IARA VAZ;DEFERIDO;55;PSD;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001621991;1833;RAFAEL NOGUTI;DEFERIDO;18;REDE;MASCULINO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001603308;1188;WANDERLEI SILVA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723074;14084;SIMONE JESUS;DEFERIDO;14;PTB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001621825;4099;MARIANA LOPES;DEFERIDO;40;PSB;FEMININO;PRETA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001622683;18190;MARCOS SANTOS;INDEFERIDO COM RECURSO;18;REDE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723024;14141;ALESSANDRA MENDONÇA;DEFERIDO;14;PTB;FEMININO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001615021;13010;ROSARIA NASCIMENTO;DEFERIDO;13;PT;FEMININO;PARDA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001654821;1900;BETINI;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001614854;15127;PROF SERGIO ANDREKOWICZ;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO ESTADUAL;160001723045;14181;CORONEL COSTA;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622011;5000;JÂNDERSON RODRIGUES E COLETIVO;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
PR;PARANÁ;DEPUTADO FEDERAL;160001622609;1208;MARCOS ABUJAMRA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
